Date,House1L_CO (ppm),House1L_O3 (ppb),House1L_PM2.5 (ug/m3),House2L_CO (ppm),House2L_O3 (ppb),House2L_PM2.5 (ug/m3),House3L_CO (ppm),House3L_O3 (ppb),House3L_PM2.5 (ug/m3),House4L_CO (ppm),House4L_O3 (ppb),House4L_PM2.5 (ug/m3)
2023-02-22 02:30:00,-0.232,-13.39,13.494199999999998,-0.232,-13.39,13.494199999999998,-0.16056,-13.39,11.138,0.08947999999999998,26.097410000000004,7.7822
2023-02-22 02:35:00,-0.232,-13.39,12.6374,-0.232,-13.39,12.6374,-0.16056,-13.39,11.5664,0.08947999999999998,30.85346,8.4248
2023-02-22 02:40:00,-0.232,-13.39,13.636999999999999,-0.232,-13.39,13.636999999999999,-0.16056,-13.39,11.0666,0.08947999999999998,29.65835,7.4251999999999985
2023-02-22 02:45:00,-0.232,-12.707080000000001,12.209,-0.232,-12.707080000000001,12.209,-0.16056,-13.39,11.423599999999999,0.10734000000000002,25.219369999999998,8.7818
2023-02-22 02:50:00,-0.232,-12.99976,12.8516,-0.232,-12.99976,12.8516,-0.16056,-13.39,11.2808,0.05376,28.19495,8.3534
2023-02-22 02:55:00,-0.232,-10.34125,12.708799999999998,-0.232,-10.34125,12.708799999999998,-0.16056,-13.39,11.7806,0.07161999999999999,24.92669,7.6394
2023-02-22 03:00:00,-0.232,-11.41441,13.0658,-0.232,-11.41441,13.0658,-0.17842000000000002,-13.39,11.209399999999999,0.08947999999999998,28.316900000000004,7.710799999999999
2023-02-22 03:05:00,-0.232,-9.341260000000002,11.3522,-0.232,-9.341260000000002,11.3522,-0.17842000000000002,-13.39,11.138,0.10734000000000002,31.87784,7.2109999999999985
2023-02-22 03:10:00,-0.232,-11.70709,11.5664,-0.232,-11.70709,11.5664,-0.19628,-13.39,10.5668,0.05376,26.6096,7.2109999999999985
2023-02-22 03:15:00,-0.232,-13.39,10.780999999999999,-0.232,-13.39,10.780999999999999,-0.19628,-13.39,10.2812,0.08947999999999998,23.926700000000004,8.1392
2023-02-22 03:20:00,-0.232,-13.39,10.780999999999999,-0.232,-13.39,10.780999999999999,-0.19628,-13.39,10.3526,0.08947999999999998,19.2926,7.3538
