"TOA5","CR200test","CR200X","No_SN","CR200X.Std.02","RMyoungFinalProgram2021_cr200.CR2","36029","TableMin"
"TIMESTAMP","RECORD","BattV_Avg","AirTC_Avg","RH_Avg","WSpeed_Avg","WDir_Avg"
"TS","RN","Volts","Deg C","%","meters/sec","degrees"
"","","Avg","Avg","Avg","Avg","Avg"
"2023-07-28 06:35:00",6764,13.76765,51.49553,83.70669,"NAN",0
"2023-07-28 06:40:00",6765,13.78977,51.62235,83.64115,"NAN",0
"2023-07-28 06:45:00",6766,13.79353,51.79205,83.81629,"NAN",0
"2023-07-28 06:50:00",6767,13.77049,51.05274,83.6146,"NAN",0
"2023-07-28 06:55:00",6768,13.79002,51.67916,83.61298,"NAN",0
"2023-07-28 07:00:00",6769,13.78943,51.6769,83.58777,"NAN",0
"2023-07-28 07:05:00",6770,13.76216,51.80897,83.53491,"NAN",0
"2023-07-28 07:10:00",6771,13.78192,51.71069,83.46758,"NAN",0
"2023-07-28 07:15:00",6772,13.75817,51.65371,83.57024,"NAN",0
"2023-07-28 07:20:00",6773,13.79684,51.53883,83.59785,"NAN",0
"2023-07-28 07:25:00",6774,13.77508,51.2467,83.6458,"NAN",0
"2023-07-28 07:30:00",6775,13.77203,51.44126,83.59229,"NAN",0
"2023-07-28 07:35:00",6776,13.75985,50.96014,83.77016,"NAN",0
"2023-07-28 07:40:00",6777,13.77345,51.31802,83.70617,"NAN",0
"2023-07-28 07:45:00",6778,13.7875,51.36975,83.75139,"NAN",0
"2023-07-28 07:50:00",6779,13.77069,51.12384,83.81542,"NAN",0
"2023-07-28 07:55:00",6780,13.7865,51.07564,83.76236,"NAN",0
"2023-07-28 08:00:00",6781,13.83349,51.23523,83.80706,"NAN",0
"2023-07-28 08:05:00",6782,13.74815,51.02829,83.93941,"NAN",0
"2023-07-28 08:10:00",6783,13.82909,51.35868,83.91946,"NAN",0
"2023-07-28 08:15:00",6784,13.76989,51.76104,83.93615,"NAN",0
"2023-07-28 08:20:00",6785,13.78081,51.36244,83.94655,"NAN",0
"2023-07-28 08:25:00",6786,13.7852,51.26198,84.09286,"NAN",0
"2023-07-28 08:30:00",6787,13.77676,50.95807,84.00144,"NAN",0
"2023-07-28 08:35:00",6788,13.77335,51.41761,84.10904,"NAN",0
"2023-07-28 08:40:00",6789,13.78091,51.53854,84.02798,"NAN",0
"2023-07-28 08:45:00",6790,13.76134,51.39704,83.96416,"NAN",0
"2023-07-28 08:50:00",6791,13.78102,51.09583,84.00645,"NAN",0
"2023-07-28 08:55:00",6792,13.78826,51.56421,84.03613,"NAN",0
"2023-07-28 09:00:00",6793,13.78752,51.39927,84.03515,"NAN",0
"2023-07-28 09:05:00",6794,13.76785,51.29781,83.92764,"NAN",0
"2023-07-28 09:10:00",6795,13.7805,51.45851,83.97896,"NAN",0
"2023-07-28 09:15:00",6796,13.78231,51.57433,83.79881,"NAN",0
"2023-06-21 10:20:00",0,13.90286,22.73603,26.63347,"NAN",51.29118
"2023-06-21 10:25:00",1,13.89701,22.86008,26.37815,3.3645,100.12
"2023-06-21 10:30:00",2,13.90326,23.02522,26.12682,3.7445,105.1967
"2023-06-21 10:35:00",3,13.89022,23.35092,24.39948,4.430833,117.5683
"2023-06-21 10:40:00",4,13.88279,23.649,23.50841,4.113333,106.0533
"2023-06-21 10:45:00",5,13.88087,23.64267,24.86832,3.9755,127.2083
"2023-06-21 10:50:00",6,13.87643,23.79123,25.22175,4.410833,126.5333
"2023-06-21 10:55:00",7,13.8412,23.98849,24.39369,4.258833,124.3917
"2023-06-21 11:00:00",8,13.8506,24.07305,24.91732,3.72,132.5217
"2023-06-21 11:05:00",9,13.82841,24.03997,25.11769,3.915834,126.1633
"2023-06-21 11:10:00",10,13.82897,24.16831,24.32635,3.940334,137.1233
"2023-06-21 11:15:00",11,13.84723,24.11374,24.53601,3.878334,133.94
"2023-06-21 11:20:00",12,13.82167,24.29934,24.86204,4.175666,132.5033
"2023-06-21 11:25:00",13,13.79954,24.64516,24.60009,4.223332,127.6467
"2023-06-21 11:30:00",14,13.80121,24.93148,23.24187,4.952333,119.985
"2023-06-21 11:35:00",15,13.80561,25.2331,22.54836,5.209167,115.4467
"2023-06-21 11:40:00",16,13.78242,25.03517,22.89916,5.154335,107.7883
"2023-06-21 11:45:00",17,13.80151,25.27202,23.10642,4.359333,129.295
"2023-06-21 11:50:00",18,13.81014,25.62095,22.42719,4.6515,128.01
"2023-06-21 11:55:00",19,13.7955,25.92803,22.57251,3.999166,129.6534
"2023-06-21 12:00:00",20,13.79696,26.13809,22.08103,4.951499,122.2267
"2023-06-21 12:05:00",21,13.76207,26.04911,21.74678,4.877333,106.0967
"2023-06-21 12:10:00",22,13.7687,26.35645,21.53705,4.476333,118.6583
"2023-06-21 12:15:00",23,13.77084,26.52085,21.14984,5.029,110.5633
"2023-06-21 12:20:00",24,13.7708,26.39153,21.04621,4.337667,108.5767
"2023-06-21 12:25:00",25,13.77426,26.30532,21.79768,4.561333,127.83
"2023-06-21 12:30:00",26,13.76226,26.33508,21.61545,4.349166,121.1583
