"TOA5","CR200test","CR200X","18551","CR200X.Std.04","RMyoungFinalProgram2021_cr200.CR2","36029","TableMin"
"TIMESTAMP","RECORD","BattV_Avg","AirTC_Avg","RH_Avg","WSpeed_Avg","WDir_Avg"
"TS","RN","Volts","Deg C","%","meters/sec","degrees"
"","","Avg","Avg","Avg","Avg","Avg"
"2023-06-21 17:55:00",64,12.19696,-39.71704,0.6188191,1.5615,248.39
"2023-06-21 18:05:00",65,11.63826,-39.68254,0.9427153,1.476667,225.7667
"2023-06-21 18:15:00",66,12.28802,-39.6875,0.6539991,0.96375,230.25
"2023-06-21 18:20:00",67,10.94376,-39.67643,0.8424913,1.56,218.7
"2023-06-21 21:20:00",68,11.13516,-39.66575,0.7036024,0,0
"2023-06-22 11:15:00",69,10.94292,-39.54213,0.9615391,0.4,278
"2023-06-22 12:55:00",70,13.1645,-39.51753,0.3291319,0.6029411,229.4088
"2023-06-22 13:00:00",71,14.05657,-39.45016,1.289912,1.079,198.26
"2023-06-22 13:05:00",72,13.73958,-39.38128,1.067868,1.6405,245.08
"2023-06-22 13:10:00",73,13.73091,-39.40749,1.028211,1.838833,279.985
"2023-06-22 13:15:00",74,13.70395,-39.34974,0.903516,1.447834,247.6417
"2023-06-22 13:20:00",75,13.71239,-39.35197,0.952636,0.9941666,205.85
"2023-06-22 13:25:00",76,13.70976,-39.25927,0.838167,0.8875,211.63
"2023-06-22 13:30:00",77,13.69939,-39.2731,0.8236167,1.078,206.815
"2023-06-22 13:35:00",78,13.7104,-39.36168,0.692537,1.246,297.3051
"2023-06-22 13:40:00",79,13.74624,-39.32308,0.7612695,1.854833,319.6551
"2023-06-22 13:45:00",80,13.72491,-39.32911,0.6748832,1.2465,211.865
"2023-06-22 13:50:00",81,13.75065,-39.34498,0.8068535,0.7601668,119.3017
"2023-06-22 13:55:00",82,13.77575,-39.34511,1.160028,0.7866667,210.5917
"2023-06-22 14:00:00",83,13.79731,-39.41097,1.200957,0.8469999,128.0934
"2023-06-22 14:05:00",84,13.79959,-39.40329,1.183456,0.8938333,202.235
"2023-06-22 14:10:00",85,13.8112,-39.29925,0.9699079,1.471167,280.035
"2023-06-22 14:15:00",86,13.84334,-39.31639,1.026125,1.557833,246.9766
"2023-06-22 14:20:00",87,13.85757,-39.36836,1.066266,1.021833,214.1784
"2023-06-22 14:25:00",88,13.87205,-39.4232,1.270453,0.9735002,157.7783
"2023-06-22 14:30:00",89,13.91492,-39.42982,1.299121,0.8785,242.7167
"2023-06-22 14:35:00",90,13.93307,-39.41278,1.202076,1.432,281.475
"2023-06-22 14:40:00",91,13.94038,-39.38498,1.221104,0.8218334,243.2617
"2023-06-22 14:45:00",92,13.94037,-39.40253,1.293372,1.2335,233.28
"2023-06-22 14:50:00",93,13.92968,-39.40297,1.282764,0.9068334,184.8017
"2023-06-22 14:55:00",94,13.93253,-39.35467,1.183075,1.730167,248.0301
"2023-06-22 15:00:00",95,13.94964,-39.40853,1.202636,1.260166,221.3484
"2023-06-22 15:05:00",96,13.94039,-39.40816,1.108695,1.320833,201.44
"2023-06-22 15:10:00",97,13.94409,-39.45559,1.230974,1.2255,237.575
"2023-06-22 15:15:00",98,13.97813,-39.44353,1.296857,1.5,203.845
