"TOA5","Lebohang AQMS","CR1000","41024","CR1000.Std.32.05","CPU:Large AQMS.cr1","42754","Table1"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","RH","SlrW_Avg","Rain_mm_Tot","Amb_Press_Avg","Batt_Volt_Avg","SO2_Avg","H2S_Avg","NO_Avg","NO2_Avg","NOX_Avg","PM10_Avg","PM25_Avg","O3_Avg","CO_Avg","CO2_Avg","LineV_Avg","Log_Temp_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","%","W/mÂ²","mm","hPa","Volts","ppb","ppb","ppb","ppb","ppb","ug.m-3","ug.m-3","ppb","ppm","ppm","Volts","Deg C"
"","","WVc","WVc","WVc","Max","Avg","Smp","Avg","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-03-16 00:20:00",94399,3.391,91.24536,8.692748,3.8222,14.17427,94.16618,0,0,834.6858,12.83809,-269.8033,0,0.2255881,1.353528,2.707057,29.32645,13.08411,-2.481469,-413.2773,419.5938,0,22.30761
"2023-03-16 00:21:00",94400,3.732367,93.06647,3.314145,4.2338,14.25428,94.44025,0,0,834.7628,12.83805,-359.5901,0,0,1.353539,2.932671,29.32669,20.52867,4.511783,-404.0315,419.5972,0,22.30761
"2023-03-16 00:22:00",94401,3.613133,97.54505,8.673177,4.2436,14.21506,94.47432,0,0,834.7586,12.83802,-372.6775,0,0.2255917,2.481509,4.060651,29.32693,24.13832,4.963018,-392.304,419.6006,0,22.30761
"2023-03-16 00:23:00",94402,3.44,93.55792,9.31639,3.6458,14.22615,94.61021,0,0,834.7632,12.83796,-330.2705,0,1.127973,2.030352,4.060703,29.10171,16.9196,2.481541,-410.3567,419.606,0,22.30761
"2023-03-16 00:24:00",94403,3.0284,90.72124,5.87241,3.685,14.23736,94.7121,0,0,834.7116,12.83793,-295.7567,0,1.353577,1.804771,4.060731,28.87631,14.21257,-1.127971,-415.097,419.6089,0,22.30761
"2023-03-16 00:25:00",94404,2.9451,93.74331,6.815569,3.244,14.21455,94.67779,0,0,834.605,12.8379,-348.5479,0,0,2.707167,4.060751,29.10205,18.49897,3.609563,-410.8127,419.611,0,22.29782
"2023-03-16 00:26:00",94405,3.1558,88.9508,9.556233,3.2342,14.2428,94.8822,0,0,834.6074,12.83787,-389.158,0,0,2.707186,3.835181,28.65105,21.65749,7.219163,-409.9131,419.6139,0,22.28803
"2023-03-16 00:27:00",94406,3.168867,89.64705,8.726982,3.685,14.28246,94.91606,0,0,834.6091,12.83815,-412.8477,0,0,1.8048,2.707198,29.55358,16.69438,10.15199,-431.7981,419.6157,0,22.27825
"2023-03-16 00:28:00",94407,3.026767,92.20356,10.68983,3.2538,14.24832,94.98403,0,0,834.6101,12.83826,-443.0795,0,0.2256004,1.353603,3.158407,29.10247,20.52965,11.73123,-421.873,419.617,0,22.27825
"2023-03-16 00:29:00",94408,2.855267,90.70854,7.400002,3.6948,14.32772,95.08624,0,0,834.6116,12.83817,-432.4781,0,0.9024062,1.579211,3.835226,29.3282,21.20654,10.15207,-409.6924,419.6189,0,22.27825
"2023-03-16 00:30:00",94409,2.691933,95.73903,7.283666,3.0676,14.28792,95.05205,0,0,834.6052,12.8384,-342.2221,0,1.353552,1.804755,4.060657,29.10137,20.07767,2.93262,-395.237,419.6012,0,22.27825
"2023-03-16 00:31:00",94410,2.907533,96.24642,4.75822,3.1656,14.28823,95.15577,0,0,834.7385,12.83861,-383.7258,0,1.12794,1.353531,3.609415,29.55209,19.62619,7.218807,-405.6081,419.5946,0,22.27373
"2023-03-16 00:32:00",94411,3.090466,98.03245,8.533407,3.3126,14.32866,95.22392,0,0,834.7678,12.8388,-374.4812,0,0.4511821,2.255911,4.060639,28.87566,15.79137,5.639776,-417.5691,419.5994,0,22.26469
"2023-03-16 00:33:00",94412,3.0235,101.0919,8.702312,3.7242,14.27074,95.15374,0,0,834.7701,12.83862,-384.4114,0,0,1.804747,3.158308,29.32717,19.40102,8.346946,-410.5804,419.6041,0,22.25113
"2023-03-16 00:34:00",94413,3.075767,99.33191,5.684757,3.2146,14.32162,95.35815,0,0,834.7713,12.83853,-374.7037,0,0.4511882,1.353539,2.707078,28.87551,15.56539,6.316339,-418.0183,419.5971,0,22.23758
"2023-03-16 00:35:00",94414,3.235833,99.876,10.98395,3.8908,14.2478,95.35815,0,0,834.7728,12.83841,-359.5765,0,0,1.579069,2.706975,29.32557,15.56511,3.6093,-412.8137,419.5812,0,22.22402
"2023-03-16 00:36:00",94415,3.604967,101.7029,5.533222,4.175,14.30458,95.56257,0,0,834.7742,12.83866,-383.2472,0,0,2.03016,2.932444,29.09888,26.84303,7.443741,-397.6848,419.5653,0,22.22402
"2023-03-16 00:37:00",94416,3.892433,93.0617,8.39186,4.42,14.35001,95.69884,0,0,834.7751,12.83879,-403.0989,0,0,2.706881,4.060321,29.09897,17.82015,11.72968,-417.7621,419.5665,0,22.21913
"2023-03-16 00:38:00",94417,3.407333,91.61001,9.021858,3.6164,14.34433,95.63071,0,0,834.7759,12.83895,-396.7919,0,0,2.255781,3.383672,29.32515,13.30911,10.15101,-424.3124,419.5753,0,22.20934
"2023-03-16 00:39:00",94418,3.588633,91.96211,9.500165,3.9104,14.33297,95.76698,0,0,834.7771,12.83914,-408.7301,0,0,2.706822,4.060233,28.87277,26.39151,12.1807,-400.8352,419.5574,0,22.19465
"2023-03-16 00:40:00",94419,3.569034,95.59771,6.023009,3.8222,14.40733,95.59827,0,0,834.7448,12.83922,-392.0448,0,0,2.706867,4.060301,29.09882,23.45944,8.571792,-401.5188,419.5644,0,22.18562
"2023-03-16 00:41:00",94420,3.422033,94.59501,10.27628,3.6556,14.36246,95.73454,0,0,834.6313,12.8393,-376.4864,0,0,2.706912,4.060369,28.64816,14.88802,6.090553,-416.1878,419.5714,0,22.16754
"2023-03-16 00:42:00",94421,3.595167,89.75577,5.40368,4.3416,14.41902,95.8705,0,0,834.6614,12.83942,-397.9268,0,0.4511642,2.706985,4.060477,29.32567,19.62564,9.474446,-413.0408,419.5826,0,22.16754
"2023-03-16 00:43:00",94422,3.676833,92.08102,12.3328,4.469,14.36838,95.80373,0,0,834.7381,12.83925,-365.6725,0,0.2255821,2.707014,4.060521,28.87482,20.5282,2.707024,-397.931,419.5872,0,22.16754
"2023-03-16 00:44:00",94423,3.872833,100.9543,9.32163,4.2534,14.40859,95.8378,0,0,834.7607,12.83908,-358.0064,0,0,2.707043,4.060565,29.55189,17.37019,4.511738,-411.9217,419.5917,0,22.15399
"2023-03-16 00:45:00",94424,3.933267,93.37319,5.395875,4.5474,14.38094,95.73669,0,0,834.765,12.83881,-389.8209,0,0.4511817,2.481499,4.060635,29.10121,18.49845,6.767725,-413.7336,419.5989,0,22.14043
"2023-03-16 00:46:00",94425,3.529833,98.87901,8.913943,4.126,14.32308,95.59803,0,0,834.7672,12.83803,-354.8579,0,1.353557,1.353557,4.060672,29.32708,16.91948,3.609515,-411.4815,419.6028,0,22.14043
"2023-03-16 00:47:00",94426,3.3175,91.65218,6.776109,3.7438,14.31135,95.66751,0,0,834.7687,12.83899,-379.6753,0,0.4511878,2.03035,4.060698,29.55286,24.36419,4.511886,-388.9246,419.6055,0,22.14043
"2023-03-16 00:48:00",94427,3.745434,93.91112,9.671014,4.4592,14.28371,95.70158,0,0,834.8522,12.83877,-378.3251,0,0,2.707156,4.060735,29.55313,17.37092,5.188716,-414.6461,419.6093,0,22.14043
"2023-03-16 00:49:00",94428,3.908767,95.55704,7.300456,4.4396,14.2721,95.8373,0,0,834.9348,12.83892,-374.041,0,0,2.707172,4.060759,29.1021,18.95021,5.188749,-409.0086,419.6117,0,22.14043
"2023-03-16 00:50:00",94429,3.221133,95.90954,8.548525,3.5968,14.22065,95.73302,0,0,834.9358,12.83903,-341.1051,0,0,2.707184,4.060776,29.32782,18.49907,2.481582,-401.1144,419.6134,0,22.14043
"2023-03-16 00:51:00",94430,3.786267,100.2089,8.393544,4.2436,14.17974,95.93744,0,0,834.9373,12.83918,-390.9647,0,0,2.707199,4.0608,29.10239,20.0784,6.316799,-408.5615,419.6159,0,22.14043
"2023-03-16 00:52:00",94431,3.453067,98.01223,5.289663,3.8418,14.17478,95.93906,0,0,834.9382,12.83928,-376.9789,0,0,2.70721,4.060815,28.8769,25.71849,4.512016,-398.411,419.6175,0,22.15399
"2023-03-16 00:53:00",94432,3.232567,91.47912,11.59724,3.5674,14.13568,95.90627,0,0,834.939,12.83937,-364.5721,0,0,2.707219,4.060829,29.1026,29.5538,2.932822,-375.1754,419.6189,0,22.14947
"2023-03-16 00:54:00",94433,3.423667,96.18729,5.466847,3.9398,14.13626,96.07662,0,0,834.9397,12.83944,-344.269,0,0.9024091,2.481625,4.060841,29.32829,18.04818,1.804818,-411.2729,419.6202,0,22.16302
"2023-03-16 00:55:00",94434,3.9398,99.56221,10.03199,4.273,14.0914,96.14579,0,0,834.9404,12.83952,-364.3487,0,0,2.707235,4.060853,29.32838,19.62745,4.060852,-407.4389,419.6214,0,22.16754
"2023-03-16 00:56:00",94435,3.982267,93.32522,9.478533,4.5082,14.12541,96.28127,0,0,834.9409,12.83864,-362.3188,0,0,2.707239,4.060859,29.77963,17.82265,5.414476,-412.1772,419.6221,0,22.16754
"2023-03-16 00:57:00",94436,3.613133,87.19308,8.583278,4.5474,14.10801,96.31533,0,0,834.9412,12.83961,-360.7403,0,0,2.707244,4.060866,29.77969,17.14588,5.188885,-411.9524,419.6229,0,22.16754
"2023-03-16 00:58:00",94437,3.306067,86.95982,8.179714,3.8418,14.08017,96.45261,0,0,834.9417,12.83966,-377.8869,0,0,2.707249,3.384062,29.77975,20.30437,6.091309,-403.8314,419.6237,0,22.16754
"2023-03-16 00:59:00",94438,3.732367,89.30836,10.50061,4.2436,14.09749,96.38525,0,0,834.9421,12.83862,-335.0225,0,0,2.256043,2.707252,29.77978,16.46912,3.158463,-406.9902,419.6241,0,22.17206
"2023-03-16 01:00:00",94439,3.467767,89.53326,7.903394,3.8614,14.07513,96.5556,0,0,834.9424,12.83928,-367.7356,0,0,1.353628,2.93286,29.77981,16.69474,5.414511,-416.9174,419.6246,0,22.19013
"2023-03-16 01:01:00",94440,3.423666,88.68297,6.589155,3.8124,14.10394,96.72659,0,0,834.9427,12.83941,-357.8094,0,0.4512099,1.35363,3.609679,31.8103,18.274,5.188914,-407.4425,419.8508,0,22.19465
"2023-03-16 01:02:00",94441,3.818933,93.25742,5.149733,4.3416,14.06949,96.69138,0,0,834.9429,12.83924,-376.5349,0,0.6768152,1.353631,2.707261,34.06637,15.34115,7.219362,-413.5341,419.8511,0,22.20444
"2023-03-16 01:03:00",94442,3.794433,85.37881,3.420627,4.567,14.05775,96.82766,0,0,834.9431,12.83815,-354.4258,0,0.6768157,1.353631,2.707263,33.84079,14.21313,4.73771,-411.9552,419.6257,0,22.21423
"2023-03-16 01:04:00",94443,3.098633,78.66747,6.602445,3.6458,14.02985,96.89655,0,0,834.9432,12.83924,-323.067,0,0,1.579238,2.707265,33.84082,14.43875,2.256054,-402.2545,419.6261,0,22.22402
"2023-03-16 01:05:00",94444,3.436733,88.42269,4.457316,4.224,14.00166,96.89713,0,0,834.9434,12.83931,-366.5961,0,0,1.353587,2.707175,33.83968,15.56625,6.091105,-410.8137,419.6121,0,22.22402
"2023-03-16 01:06:00",94445,2.638033,93.11765,8.441686,2.852,14.03592,96.96528,0,0,834.9434,12.83937,-357.5607,0,0,2.255903,3.609445,34.06414,17.59605,5.188578,-407.8673,419.598,0,22.22402
"2023-03-16 01:07:00",94446,2.892833,96.20738,3.491384,3.0382,13.95106,97.0339,0,0,834.9436,12.83905,-356.6634,0,0,2.707122,4.060683,33.83903,18.72426,4.737464,-402.2332,419.604,0,22.22402
"2023-03-16 01:08:00",94447,3.193366,97.28722,11.15222,3.5576,14.01223,97.20132,0,0,834.9437,12.83887,-319.2174,0,0,2.481547,2.932736,33.83928,10.15177,2.707168,-426.6007,419.6071,0,22.22402
"2023-03-16 01:09:00",94448,3.712767,101.2297,5.408598,4.616,14.03423,97.33691,0,0,834.9437,12.83689,-333.6573,0,0,1.579175,2.707157,33.83946,15.11497,3.609553,-409.6831,419.6093,0,22.22402
"2023-03-16 01:10:00",94449,3.93,98.80427,6.696252,4.1358,14.09631,97.37097,0,0,834.9438,12.83857,-365.6946,0,0,1.353589,2.707177,33.83972,17.14546,6.767944,-415.1006,419.6125,0,22.2421
"2023-03-16 01:11:00",94450,3.9496,97.73756,7.053324,4.1652,14.15781,97.3347,0,0,834.998,12.83846,-342.234,0,0,1.353595,2.707191,33.83989,15.79194,4.286392,-407.6578,419.6145,0,22.25113
"2023-03-16 01:12:00",94451,3.766666,93.56066,7.656783,4.077,14.11188,97.40273,0,0,834.9438,12.83838,-347.421,0,0,1.353585,2.707169,33.83961,16.01748,4.737637,-404.9474,419.6112,0,22.25113
"2023-03-16 01:13:00",94452,3.992067,96.837,4.253118,4.5082,14.16292,97.50493,0,0,834.9439,12.83734,-351.2371,0,0,1.353515,2.70703,33.83787,17.59569,5.188474,-407.8591,419.5896,0,22.25113
