Date,CO (ppm),O3 (ppb),PM2.5 (ug/m3),RECORD,WSpeed_Max,WSpeed_S_WVT,WDir_D1_WVT,WDir_SD1_WVT,Temp_Avg,AirTC_Avg,RH,Rain_mm_Tot,BattV_Min,Temp_Max,Temp_Min,AirTC_Max,AirTC_Min,RH_Max,RH_Min,BattV_Avg,RH_Avg,WSpeed_Avg,WDir_Avg,BattV
2023-02-21T22:00:00Z,1.8000000000001e-4,17.63408,12.6374,44496,NA,NA,NA,NA,NA,26.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.29,1.229,218.8,14.05
2023-02-21T22:05:00Z,1.8000000000001e-4,20.073080000000004,14.1368,44497,NA,NA,NA,NA,NA,26.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.33,1.302,218.3,13.79
2023-02-21T22:10:00Z,0.03589999999999996,20.41454,14.4224,44498,NA,NA,NA,NA,NA,26.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.86,0.685,208.2,13.79
2023-02-21T22:15:00Z,0.05376,15.6341,13.5656,44499,NA,NA,NA,NA,NA,26.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.62,0.945,215.9,13.79
2023-02-21T22:20:00Z,0.03589999999999996,16.53653,13.9226,44500,NA,NA,NA,NA,NA,26.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.34,0.91,215.6,13.79
2023-02-21T22:25:00Z,0.01804000000000002,16.21946,13.9226,44501,NA,NA,NA,NA,NA,26.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.07,0.635,206.8,13.78
2023-02-21T22:30:00Z,0.01804000000000002,15.268250000000002,14.493799999999998,44502,NA,NA,NA,NA,NA,26.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.31,0.549,199.2,14.03
2023-02-21T22:35:00Z,0.01804000000000002,16.43897,13.7084,44503,NA,NA,NA,NA,NA,25.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.07,0.494,207.7,13.83
2023-02-21T22:40:00Z,1.8000000000001e-4,14.6585,13.9226,44504,NA,NA,NA,NA,NA,25.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.98,1.106,216.2,14.05
2023-02-21T22:45:00Z,-0.01768000000000003,13.90241,13.9226,44505,NA,NA,NA,NA,NA,26.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.59,0.992,207.4,13.83
