Date,CO (ppm),O3 (ppb),PM2.5 (ug/m3),RECORD,WSpeed_Max(m/s),WSpeed_S_WVT(m/s),WDir_D1_WVT(Deg),WDir_SD1_WVT(Deg),Temp_Avg(DegC),AirTC_Avg(DegC),RH(%),Rain_mm_Tot(mm),BattV_Min(v),Temp_Max(DegC),Temp_Min(DegC),AirTC_Max(DegC),AirTC_Min(DegC),RH_Max(%),RH_Min(%),BattV_Avg(v),RH_Avg(%),WSpeed_Avg(m/s),WDir_Avg(Deg),BattV(v)
2023-02-22T00:30:00Z,-0.232,-13.39,13.494199999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-22T00:35:00Z,-0.232,-13.39,12.6374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-22T00:40:00Z,-0.232,-13.39,13.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-22T00:45:00Z,-0.232,-12.70708,12.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-22T00:50:00Z,-0.232,-12.99976,12.8516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-22T00:55:00Z,-0.232,-10.34125,12.708799999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-22T01:00:00Z,-0.232,-11.41441,13.0658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-22T01:05:00Z,-0.232,-9.341260000000002,11.3522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-22T01:10:00Z,-0.232,-11.707090000000001,11.5664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-22T01:15:00Z,-0.232,-13.39,10.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-22T01:20:00Z,-0.232,-13.39,10.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-22T01:25:00Z,-0.232,-12.31684,10.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-22T01:30:00Z,-0.232,-10.97539,10.6382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-22T01:35:00Z,-0.232,-10.19491,10.1384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-22T01:40:00Z,-0.232,-13.39,9.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-22T01:45:00Z,-0.232,-13.39,9.2102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-22T01:50:00Z,-0.232,-13.39,10.3526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-22T01:55:00Z,-0.232,-13.39,9.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
